,Kod TERC,Kod TERC (GUS),Kod TERC-woj (GUS),Województwo,Kod TERC-pow (GUS),Powiat,Kod TERC-gmi,Kod TERC-gmi-rodz,Gmina,Kod TERC-gmi (GUS),Kod TERC-gmi-rodz (GUS),Gmina (GUS),Kod SIMC,Kod SIMC podstawowa,Rodzaj miejscowości,Miejscowość,Kod SIMC (GUS),Kod SIMC podstawowa (GUS),Rodzaj miejscowości (GUS),Miejscowość (GUS),Kod ULIC (GUS),Ulica (cecha),Ulica (nazwa),Numeracja nieparzysta (od),Numeracja nieparzysta (do),Numeracja parzysta (od),Numeracja parzysta (do),Kod pocztowy (PNA)
299042,3013022,3013022,30,WIELKOPOLSKIE,13,leszczyński,2,2,Lipno,2,2,Lipno,373037,373037,1,Wilkowice,373037,373037,1,Wilkowice,16448.0,ul.,Platanowa,1,-1,2,-1,64-115
28173,1202034,1202034,12,MAŁOPOLSKIE,2,brzeski,3,4,Czchów,3,4,Czchów,993194,816871,99,Grodzisko,993194,816871,99,Grodzisko,,,,1,-1,2,-1,32-860
280902,1608044,1608044,16,OPOLSKIE,8,oleski,4,4,Praszka,4,4,Praszka,932353,932353,96,Praszka,932353,932353,96,Praszka,1528.0,ul.,Boczna,1,-1,2,-1,46-320
169923,2607062,2607062,26,ŚWIĘTOKRZYSKIE,7,ostrowiecki,6,2,Waśniów,6,2,Waśniów,276073,276073,1,Milejowice,276073,276073,1,Milejowice,,,,1,-1,2,-1,27-425
387120,2003052,2003052,20,PODLASKIE,3,bielski,5,2,Brańsk,5,2,Brańsk,24957,24957,1,Puchały Stare,24957,24957,1,Puchały Stare,,,,1,-1,2,-1,17-120
290868,3006045,3006045,30,WIELKOPOLSKIE,6,jarociński,4,5,Żerków,4,5,Żerków,211530,211530,1,Chrzan,211530,211530,1,Chrzan,4434.0,ul.,Dworcowa,1,-1,2,-1,63-210
89000,1419142,1419142,14,MAZOWIECKIE,19,płocki,14,2,Staroźreby,14,2,Staroźreby,577076,577060,0,Staroźreby-Kolonia,577076,577060,0,Staroźreby-Kolonia,,,,1,-1,2,-1,09-440
97552,1425132,1425132,14,MAZOWIECKIE,25,radomski,13,2,Zakrzew,13,2,Zakrzew,642247,642247,1,Bielicha,642247,642247,1,Bielicha,11907.0,ul.,Magnolii,1,-1,2,-1,26-601
334352,462011,462011,4,KUJAWSKO-POMORSKIE,62,Grudziądz,1,1,Grudziądz,1,1,Grudziądz,983333,983333,96,Grudziądz,983333,983333,96,Grudziądz,15648.0,ul.,Pańska,1,-1,2,-1,86-300
326385,3031062,3031062,30,WIELKOPOLSKIE,31,złotowski,6,2,Tarnówka,6,2,Tarnówka,530212,530212,1,Tarnówka,530212,530212,1,Tarnówka,29580.0,inne,Wybudowanie,1,-1,2,-1,77-416
